iter	Passed	Remaining
455	852	1017
456	854	1015
457	856	1013
458	857	1010
459	858	1008
460	860	1005
461	861	1003
462	863	1001
463	865	999
464	866	996
465	868	994
466	869	992
467	871	990
468	872	988
469	874	986
470	875	983
471	877	981
472	879	979
473	880	977
474	882	974
475	883	972
476	884	970
477	886	968
478	887	965
479	889	963
480	890	961
481	892	959
482	893	956
483	895	954
484	896	952
485	898	949
486	899	947
487	900	945
488	902	943
489	903	940
490	905	938
491	906	936
492	907	933
493	909	931
494	910	928
495	911	926
496	913	924
497	914	922
498	916	919
499	917	917
500	919	915
501	920	913
502	922	911
503	923	909
504	925	906
505	926	904
506	928	902
507	929	900
508	931	898
509	932	895
510	933	893
511	935	891
512	936	889
513	938	887
514	939	884
515	940	882
516	942	880
517	943	878
518	944	875
519	946	873
520	947	871
521	948	868
522	950	866
523	951	864
524	952	862
525	954	860
526	955	857
527	957	855
528	958	853
529	960	851
530	961	849
531	963	847
532	964	845
533	966	843
534	967	841
535	969	838
536	970	837
537	971	834
538	973	832
539	974	830
540	975	828
541	977	825
542	978	823
543	979	821
544	981	819
545	982	816
546	983	814
547	985	812
548	986	810
549	987	808
550	989	805
551	990	803
552	991	801
553	993	799
554	994	797
555	995	795
556	996	792
557	998	790
558	999	788
559	1000	786
560	1002	784
561	1003	781
562	1004	779
563	1005	777
564	1006	774
565	1007	772
566	1008	770
567	1009	768
568	1011	765
569	1012	763
570	1013	761
571	1014	759
572	1015	757
573	1017	754
574	1018	752
575	1019	750
576	1021	748
577	1022	746
578	1023	744
579	1025	742
580	1026	740
581	1027	737
582	1028	735
583	1029	733
584	1031	731
585	1032	729
586	1033	727
587	1034	725
588	1036	723
589	1037	720
590	1038	718
591	1039	716
592	1040	714
593	1041	712
594	1043	709
595	1044	707
596	1045	705
597	1046	703
598	1047	701
599	1049	699
600	1050	697
601	1051	695
602	1052	693
603	1053	690
604	1055	688
605	1056	686
606	1057	684
607	1059	682
608	1060	680
609	1061	678
610	1063	676
611	1064	674
612	1065	672
613	1066	670
614	1068	668
615	1069	666
616	1070	664
617	1071	662
618	1073	660
619	1074	658
620	1075	656
621	1076	654
622	1078	652
623	1079	650
624	1080	648
625	1081	646
626	1082	643
627	1083	641
628	1084	639
629	1085	637
630	1087	635
631	1088	633
632	1089	631
633	1090	629
634	1091	627
635	1093	625
636	1094	623
637	1095	621
638	1096	619
639	1097	617
640	1098	615
641	1100	613
642	1101	611
643	1102	609
644	1103	607
645	1104	605
646	1105	603
647	1106	601
648	1107	599
649	1108	597
650	1110	595
651	1111	593
652	1112	590
653	1113	588
654	1114	587
655	1116	585
656	1117	583
657	1118	581
658	1119	579
659	1120	577
660	1122	575
661	1123	573
662	1124	571
663	1125	569
664	1126	567
665	1128	565
666	1129	563
667	1130	561
668	1131	559
669	1132	557
670	1133	555
671	1134	553
672	1135	551
673	1136	549
674	1137	547
675	1138	545
676	1139	543
677	1140	541
678	1141	539
679	1143	538
680	1144	536
681	1146	534
682	1147	532
683	1149	530
684	1150	529
685	1151	527
686	1153	525
687	1154	523
688	1156	521
689	1157	520
690	1159	518
691	1160	516
692	1162	514
693	1163	513
694	1165	511
695	1166	509
696	1168	507
697	1169	506
698	1171	504
699	1172	502
700	1174	500
701	1175	498
702	1176	497
703	1178	495
704	1179	493
705	1180	491
706	1181	489
707	1183	487
708	1184	486
709	1185	484
710	1186	482
711	1187	480
712	1189	478
713	1190	476
714	1191	475
715	1193	473
716	1194	471
717	1196	469
718	1197	468
719	1199	466
720	1200	464
721	1202	462
722	1203	460
723	1204	459
724	1206	457
725	1207	455
726	1208	453
727	1210	452
728	1211	450
729	1213	448
730	1215	447
731	1216	445
732	1217	443
733	1219	441
734	1220	440
735	1222	438
736	1223	436
737	1225	435
738	1227	433
739	1229	431
740	1230	430
741	1232	428
742	1233	426
743	1235	425
744	1236	423
745	1238	421
746	1239	419
747	1242	418
748	1244	416
749	1245	415
750	1247	413
751	1249	411
752	1250	410
753	1252	408
754	1254	406
755	1255	405
756	1257	403
757	1259	402
758	1260	400
759	1262	398
760	1264	396
761	1265	395
762	1267	393
763	1268	391
764	1271	390
765	1272	388
766	1274	387
767	1275	385
768	1277	383
769	1279	382
770	1281	380
771	1282	378
772	1284	377
773	1285	375
774	1287	373
775	1288	372
776	1290	370
777	1291	368
778	1293	366
779	1294	365
780	1296	363
781	1297	361
782	1299	360
783	1301	358
784	1302	356
785	1303	355
786	1305	353
787	1306	351
788	1308	349
789	1309	348
790	1310	346
791	1312	344
792	1313	342
793	1315	341
794	1316	339
795	1317	337
796	1319	335
797	1320	334
798	1321	332
799	1322	330
800	1323	328
801	1325	327
802	1326	325
803	1327	323
804	1329	321
805	1330	320
806	1331	318
807	1333	316
808	1334	315
809	1335	313
810	1337	311
811	1338	309
812	1340	308
813	1341	306
814	1342	304
815	1344	303
816	1345	301
817	1346	299
818	1348	297
819	1349	296
820	1350	294
821	1351	292
822	1353	291
823	1355	289
824	1356	287
825	1358	286
826	1359	284
827	1361	282
828	1362	281
829	1364	279
830	1365	277
831	1367	276
832	1368	274
833	1370	272
834	1372	271
835	1373	269
836	1375	267
837	1377	266
838	1378	264
839	1380	262
840	1381	261
841	1383	259
842	1385	257
843	1386	256
844	1388	254
845	1389	252
846	1391	251
847	1392	249
848	1394	248
849	1395	246
850	1397	244
851	1399	243
852	1400	241
853	1401	239
854	1403	237
855	1404	236
856	1406	234
857	1407	232
858	1408	231
859	1410	229
860	1412	227
861	1413	226
862	1415	224
863	1416	223
864	1418	221
865	1420	219
866	1421	218
867	1422	216
868	1424	214
869	1426	213
870	1427	211
871	1429	209
872	1430	208
873	1432	206
874	1433	204
875	1435	203
876	1436	201
877	1438	199
878	1439	198
879	1441	196
880	1442	194
881	1444	193
882	1445	191
883	1446	189
884	1448	188
885	1449	186
886	1450	184
887	1452	183
888	1453	181
889	1455	179
890	1456	178
891	1457	176
892	1459	174
893	1460	173
894	1462	171
895	1463	169
896	1464	168
897	1466	166
898	1467	164
899	1469	163
900	1470	161
901	1472	159
902	1473	158
903	1474	156
904	1476	154
905	1477	153
906	1479	151
907	1481	150
908	1482	148
909	1484	146
910	1486	145
911	1487	143
912	1489	141
913	1490	140
914	1492	138
915	1494	137
916	1495	135
917	1497	133
918	1498	132
919	1500	130
920	1502	128
921	1504	127
922	1505	125
923	1507	123
924	1509	122
925	1510	120
926	1512	119
927	1513	117
928	1515	115
929	1517	114
930	1518	112
931	1520	110
932	1521	109
933	1523	107
934	1525	106
935	1526	104
936	1528	102
937	1530	101
938	1531	99
939	1533	97
940	1535	96
941	1536	94
942	1538	92
943	1539	91
944	1541	89
945	1542	88
946	1544	86
947	1545	84
948	1546	83
949	1548	81
950	1549	79
951	1551	78
952	1552	76
953	1553	74
954	1555	73
955	1556	71
956	1558	70
957	1559	68
958	1561	66
959	1562	65
960	1564	63
961	1566	61
962	1567	60
963	1569	58
964	1570	56
965	1572	55
966	1574	53
967	1575	52
968	1577	50
969	1579	48
970	1580	47
971	1582	45
972	1583	43
973	1585	42
974	1586	40
975	1588	39
976	1589	37
977	1591	35
978	1593	34
979	1594	32
980	1595	30
981	1597	29
982	1598	27
983	1599	26
984	1600	24
985	1601	22
986	1602	21
987	1604	19
988	1605	17
989	1606	16
990	1607	14
991	1609	12
992	1610	11
993	1611	9
994	1612	8
995	1613	6
996	1614	4
997	1615	3
998	1616	1
999	1617	0
